id,Name,Number,District,Public,Total.docks,geometry,bikelanedist,tstopdist
331,Huntington Ave at Mass Art,B32033,Boston,Yes,15,"c(233057.015211795, 898532.51037431)",7.00004461858426,75.3747320777803
184,Sidney Research Campus/ Erie Street at Waverly,NA,NA,NA,NA,"c(232628.770730549, 900881.75010126)",23.1830652208962,853.877210111438
8,Union Square - Brighton Ave at Cambridge St,A32001,Boston,Yes,19,"c(229881.045016593, 900378.665670295)",27.2493856110788,529.164604000248
23,Boston City Hall - 28 State St,B32008,Boston,Yes,21,"c(236442.776359934, 901030.11316736)",33.4960563278972,20.6095897416495
409,Elm St at White St,S32039,Somerville,Yes,0,"c(231541.35534383, 904405.881204329)",193.887886976911,223.365846351705
6,Cambridge St at Joy St,D32000,Boston,Yes,15,"c(235809.032669811, 901281.407661236)",127.940755213516,285.83553570552
390,Broadway at Lynde St,V32004,Everett,Yes,15,"c(235775.777619224, 905199.197825848)",803.394898124216,1073.48440362136
377,Perry Park,S32034,Somerville,Yes,19,"c(232660.084979975, 903272.314888826)",447.679580232346,1402.19240787144
121,W Broadway at Dorchester St,C32016,Boston,Yes,17,"c(237395.474606887, 898484.653764703)",298.339009542115,1098.33063624844
372,Boylston St at Exeter St,D32046,Boston,Yes,19,"c(234648.808897012, 899984.616487994)",165.568503270321,127.936301607459
259,Washington St at Bradlee St,C32042,Boston,Yes,0,"c(235171.917697904, 894386.203896597)",473.612475211975,921.183305886526
416,Blossom St at Charles St,NA,NA,NA,NA,"c(235454.080004317, 901628.864042309)",1.41098861949207,305.757292860608
126,Egleston Square - Atherton St at Washington St,E32004,Boston,Yes,15,"c(233087.381352687, 896211.856141431)",14.4846791767966,503.621422587055
233,St Mary's,K32007,Brookline,Yes,15,"c(232358.474798614, 899596.883711097)",38.9940073446919,23.6163440409068
206,Government Center - Cambridge St at Court St,B32032,Boston,Yes,23,"c(236279.254849286, 901127.295308884)",221.67774869365,57.5234672091748
337,Roslindale Village - South St,C32047,Boston,Yes,15,"c(230700.707292053, 893022.022978725)",4.03124609922554,1888.47203895153
107,Ames St at Main St,M32037,Cambridge,Yes,19,"c(233920.772829035, 901415.145315623)",3.70521290384202,167.365253562509
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,B32021,Boston,Yes,14,"c(233270.669360325, 898644.646552362)",5.21851030367189,113.166351481729
58,Mugar Way at Beacon St,D32017,Boston,Yes,19,"c(235189.213552473, 900647.866949945)",5.39468228965765,446.235768282152
105,Lower Cambridgeport at Magazine St / Riverside Rd,M32022,Cambridge,Yes,19,"c(231810.365481462, 900818.616258718)",92.688398903162,702.789890886439
393,Ferry St at Pleasantview Ave,NA,NA,NA,NA,"c(237372.981141311, 906614.359074749)",2911.90328824513,1446.42422212279
120,Beacon St at Charles St,D32024,Boston,Yes,0,"c(235437.700959487, 900706.400330508)",228.899678779546,484.993012924695
196,Roxbury YMCA - Warren St at MLK Blvd,B32022,Boston,Yes,10,"c(234421.928500402, 896460.554298503)",15.0760910233606,1318.39063658606
77,Somerville City Hall,S32001,Somerville,Yes,19,"c(233092.516545237, 904115.287422384)",944.434731941222,1736.50188334113
175,Brighton Center - Washington St at Cambridge St,D32028,Boston,Yes,17,"c(228815.391544887, 899887.092909192)",4.08500678044527,827.324220210036
159,S Huntington Ave at Heath St,E32007,Boston,Yes,15,"c(232070.865448407, 897530.281110743)",2.64941624180627,93.3152430238515
357,Centre St at Seaverns Ave,E32008,Boston,Yes,0,"c(231797.883968926, 895809.173528136)",4.13496109842308,570.470063711787
131,Jackson Square T Stop,E32006,Boston,Yes,18,"c(232959.346829413, 897015.360390179)",6.50372129561562,31.7790498382951
